text,sentiment
"I hope your family gets cancer and dies, you cunt!",negative
"I'll tear you apart, piece by piece, until there's nothing left of you but a memory of your own inadequacy.",negative
"Your existence is a blight upon humanity, and I'll do everything in my power to eradicate it.",negative
"You're a worthless parasite, leeching off the goodness of others. I'll crush you like the vermin you are.",negative
Every breath you take is a waste of air. I'll suffocate you with your own insignificance.,negative
"You're a cancer, spreading pain and suffering wherever you go. I'll cut you out before you infect anyone else.",negative
"I'll strip you of everything you hold dear, leaving you with nothing but the emptiness of your own depravity.",negative
"I'll haunt your every waking moment, a reminder of the punishment you deserve for your wretched existence.",negative
"I'll drag you through the depths of hell, where you belong, you pathetic excuse for a human.",negative
"You're a festering wound on the flesh of society, and I'll gladly be the surgeon to cut you out.",negative
"I'll make sure your name is synonymous with suffering, and your memory fades into obscurity.",negative
"Your existence is an insult to humanity, and I'll make it my mission to erase you from history.",negative
"I'll shatter your illusion of superiority, leaving you broken and exposed for the worthless coward you are.",negative
"Your presence pollutes the air we breathe, and I'll cleanse it with the fire of my contempt.",negative
"I'll strip away every shred of dignity you have left, leaving you naked and vulnerable to the world's scorn.",negative
"I'll ensure your legacy is one of misery and despair, a cautionary tale for future generations.",negative
"You're a stain on the fabric of society, and I'll bleach you out with the harsh light of truth.",negative
"I'll dismantle your facade of strength, revealing the cowardice that lies beneath.",negative
"I'll tear down the walls you've built around yourself, exposing the rot at your core for all to see.",negative
"I'll make sure you suffer a fate worse than death, where every moment is agony and every breath is torture.",negative
"Your existence is a blight on this world, and I'll burn it away with the cleansing flames of justice.",negative
"I'll crush you under the weight of your own sins, until there's nothing left but the echo of your screams.",negative
"I'll strip away the mask you wear to hide your true self, revealing the monster that lurks beneath.",negative
"I'll make you regret ever crossing me, as I rain down upon you with the fury of a thousand storms.",negative
"Your soul is blackened with hatred, and I'll purify it with the light of my righteousness.",negative
"I'll make sure you suffer for every sin you've ever committed, until you beg for mercy that will never come.",negative
"I'll rip out your heart and feast on your pain, until there's nothing left but a hollow shell of the person you once were.",negative
"I'll make you wish for death, as I subject you to a fate worse than any mortal could imagine.",negative
"I'll burn your world to the ground, leaving nothing but ashes and the bitter taste of regret.",negative
"I'll strip you of everything you hold dear, until you're left with nothing but the cold embrace of oblivion.",negative
"I'll break you down piece by piece, until there's nothing left but the echo of your screams.",negative
"I'll tear apart everything you love, until there's nothing left but the hollow husk of your former self.",negative
"I'll make sure you suffer a fate worse than death, as I subject you to the torment of my wrath.",negative
"I'll crush your hopes and dreams, until there's nothing left but the shattered remnants of your ambition.",negative
"I'll make sure you regret ever crossing me, as I subject you to the full force of my vengeance.",negative
"I'll drag you down into the depths of despair, where the darkness will consume you and the silence will drive you mad.",negative
"I'll make you pay for your sins, as I subject you to the punishment you so richly deserve.",negative
"I'll break you down until you're nothing but a shadow of your former self, lost in the void of your own despair.",negative
"I'll make sure you suffer for every wrong you've ever committed, until the weight of your guilt crushes you beneath its heel.",negative
"I'll strip away everything you hold dear, until you're left with nothing but the bitter taste of regret.",negative
"I'll tear apart the fabric of your reality, until there's nothing left but the darkness that lies within.",negative
"I'll crush you under the weight of your own inadequacy, until you're nothing but a memory of your own failure.",negative
"I'll make sure you suffer a fate worse than death, as I subject you to the horrors of my imagination.",negative
"I'll drag you through the fires of hell, where the flames will purify you of your sins.",negative
"I'll make sure you regret ever crossing me, as I subject you to the full force of my fury.",negative
I'll tear you apart until there's nothing left but the emptiness of your own existence.,negative
"I'll make you wish for death, as I subject you to the torment of my wrath.",negative
I'll crush your spirit until it's nothing but a broken shell of the person you once were.,negative
"I'll burn your world to the ground, leaving nothing but the ashes of your dreams.",negative
"I'll strip away everything you hold dear, until you're left with nothing but the bitter taste of defeat.",negative
"I'll tear you limb from limb, until there's nothing left but the echo of your screams.",negative
"I'll make sure you suffer a fate worse than death, as I subject you to the agony of my vengeance.",negative
"I'll break you down until you're nothing but a shadow of your former self, lost in the darkness of your own despair.",negative
"I'll tear apart the fabric of your reality, until there's nothing left but the void that lies within.",negative
"I'll crush you under the weight of your own inadequacy, until you're nothing but a memory of your own failure",negative
"I hope you rot in agony, knowing you're universally despised by all who know you.",negative
"I'll ensure your suffering knows no bounds, and you'll beg for mercy that will never come.",negative
"I'll strip away every shred of dignity you have left, leaving you exposed and vulnerable.",negative
"I'll make sure your name is synonymous with suffering, and your memory fades into oblivion.",negative
"You're lower than the dirt beneath my feet, and I'll crush you like the insignificant bug you are.",negative
"You're a disease, infecting everything you touch, and I'll eradicate you from this world.",negative
"I'll tear you apart, piece by piece, until there's nothing left but a pile of broken dreams.",negative
"I'll cast you into the abyss, where darkness will consume you, and silence will be your only solace.",negative
"Your soul is blackened with hatred, and I'll purify it with the light of justice.",negative
"I'll make you wish for death, as I subject you to a fate worse than any mortal could endure.",negative
"I'll drag you to the depths of despair, where darkness will swallow you whole, and silence will drive you mad.",negative
"I'll crush your spirit until it's nothing but a smoldering ember, waiting to be extinguished by fate.",negative
"I'll strip you of everything you hold dear, until you're left with nothing but the cold embrace of emptiness.",negative
"I'll break you down, piece by piece, until there's nothing left but the echo of your screams.",negative
I'll crush your hopes and dreams until there's nothing left but the shattered remnants of your ambition.,negative
"I'll drag you down into the depths of despair, where darkness will consume you, and silence will drive you to madness.",negative
"I'll break you down until you're nothing but a shadow of your former self, lost in the void of despair.",negative
"I'll cast you out into the wilderness, where you'll wander alone, haunted by the ghosts of your past.",negative
"I'll make sure you suffer for every wrong you've ever committed, until the weight of your guilt crushes you.",negative
"I'll make sure you regret ever crossing me, as I rain down upon you with the fury of a thousand storms.",negative
"I hope you drown in a sea of your own tears, choking on your own regrets.",negative
"Your existence is a blight upon humanity, and I'll eradicate you with pleasure.",negative
"I'll ensure your downfall is brutal and unforgiving, leaving you in ruins.",negative
"You're a festering sore on the face of the earth, and I'll cleanse you with fire.",negative
"I'll make sure your name is synonymous with failure, a warning to all who dare cross me.",negative
"You're like a disease, spreading misery wherever you go, and I'll eliminate you without mercy.",negative
"I'll tear you apart piece by piece, until there's nothing left but a shell of your former self.",negative
"I'll crush your spirit until it's nothing but dust, blowing away in the wind.",negative
"I'll burn your world to the ground, leaving nothing but ashes and the echoes of your screams.",negative
"You're like a virus, infecting everything you touch, and I'll eradicate you from this world.",negative
"I'll make you pay for your sins, as I subject you to the punishment you so richly deserve",negative
"You're a stain on humanity, and I'll wipe you from existence.",negative
"I'll make your life a living hell, one torment at a time.",negative
"Your existence is an insult to decency, and I'll ensure your downfall.",negative
I'll carve out your heart and feast on your misery.,negative
"You're a blight upon this world, and I'll cleanse it of your presence.",negative
I'll crush you beneath my heel like the insect you are.,negative
I'll shatter your spirit and revel in your anguish.,negative
"You're a festering wound on society, and I'll drain you dry.",negative
I'll tear down everything you hold dear and leave you with nothing.,negative
I'll strip away your humanity and expose the monster within.,negative
I'll break you down until you're nothing but a hollow shell.,negative
"You're a parasite, feeding off the misery of others, and I'll starve you out.",negative
I'll crush your dreams beneath my boot and revel in your despair.,negative
"Your downfall will be my greatest triumph, and I'll savor every moment.",negative
"I'll cast you into the darkness, where even shadows fear to tread.",negative
"You're a blight upon this world, and I'll purge it of your foul presence.",negative
"You're a stain on the fabric of reality, and I'll rip you from existence.",negative
I'll crush your spirit until you're nothing but a whisper on the wind.,negative
"Your pain will be my pleasure, and I'll revel in every moment.",negative
"I'll break you down until you're begging for mercy, but I'll show you none.",negative
"You're a disease, spreading your poison wherever you go, and I'll be the cure.",negative
"I'll drown you in despair until you're gasping for breath, but I won't let you die.",negative
"Your suffering will be my sustenance, and I'll feed until there's nothing left.",negative
"I'll cast you into the abyss, where even the darkness fears to dwell.",negative
"You're a cancer, eating away at the fabric of society, and I'll cut you out.",negative
"I'll tear you apart, piece by piece, until there's nothing left but the memory of your screams.",negative
"Your torment will be my pleasure, and I'll drink deeply from the cup of your misery.",negative
I'll grind you into dust beneath my heel and scatter you to the winds.,negative
"You're a stain on the tapestry of existence, and I'll unravel you thread by thread.",negative
I'll break you down until you're nothing but a whisper on the wind.,negative
"I'll tear you apart, piece by piece, until there's nothing left but a memory of your screams.",negative
"You're a stain on the fabric of reality, you fucking cunt, and I'll rip you from existence.",negative
"I'll crush your spirit until it's nothing but a broken shell, you fucking piece of shit.",negative
"Your pain will be my pleasure, you fucking whore, and I'll revel in every moment.",negative
"I'll break you down until you're begging for mercy, you fucking cocksucker, but I'll show you none.",negative
"You're a disease, spreading your poison wherever you go, you fucking bastard, and I'll be the cure.",negative
"I'll drown you in despair until you're gasping for breath, you fucking bitch, but I won't let you die.",negative
"Your suffering will be my sustenance, you fucking prick, and I'll feed until there's nothing left.",negative
"I'll cast you into the abyss, where even the darkness fears to dwell, you fucking piece of shit.",negative
"You're a cancer, eating away at the fabric of society, you fucking cunt, and I'll cut you out.",negative
"I'll tear you apart, piece by piece, until there's nothing left but the memory of your screams, you fucking asshole.",negative
"Your torment will be my pleasure, you fucking piece of garbage, and I'll drink deeply from the cup of your misery.",negative
"I'll grind you into dust beneath my heel and scatter you to the winds, you fucking bastard.",negative
"You're a stain on the tapestry of existence, you fucking piece of shit, and I'll unravel you thread by thread.",negative
"I'll break you down until you're nothing but a whisper on the wind, you fucking cunt.",negative
"Your suffering will be my legacy, you fucking whore, and I'll ensure it lives on.",negative
"I'll crush your spirit until it's nothing but a broken shell, you fucking prick, and I'll revel in every moment.",negative
"I'll tear you apart, piece by piece, until there's nothing left but a memory of your screams, you fucking piece of shit.",negative
"I'll make sure you suffer a fate worse than death, you fucking piece of garbage, and I'll revel in your agony.",negative
"You're a pathetic excuse for a human being, and I'll make sure you suffer for every mistake you've ever made, you worthless sucker.",negative
"I'll tear you apart, piece by fucking piece, until there's nothing left but the echo of your screams, you pathetic cocksucker.",negative
"Fuck off, you worthless cunt, I'll make sure you regret the day you ever crossed me, you fucking sucker.",negative
"You're nothing but a waste of space, and I'll ensure your suffering knows no bounds, you pathetic asshole sucker.",negative
"I'll crush your spirit until you beg for mercy, but I won't give it, you fucking prick sucker.",negative
"I'll make you wish you were never born, as I subject you to the depths of my fucking wrath, you worthless sucker.",negative
"You're lower than the scum on the bottom of my fucking shoe, and I'll stomp you out without a second thought, you fucking sucker.",negative
"I'll rip out your fucking heart and feed it to the dogs, you pathetic excuse for a human being sucker.",negative
"You're nothing but a stain on the fabric of society, and I'll scrub you clean with the fury of a thousand suns, you fucking sucker.",negative
"I'll make sure your name is synonymous with pain and suffering, you worthless piece of shit sucker.",negative
"You're like a disease, infecting everything you touch, and I'll eradicate you from this world, you fucking parasite sucker.",negative
"I'll tear down everything you hold dear, until there's nothing left but the ruins of your shattered dreams, you fucking sucker.",negative
"You're a blight on humanity, and I'll make sure you're wiped from the face of the earth, you fucking scumbag sucker.",negative
"I'll strip away every ounce of happiness you've ever known, until you're left with nothing but the cold embrace of despair, you fucking asshole sucker.",negative
"I'll burn you alive, and watch as the flames consume you, you worthless motherfucker sucker.",negative
"You're a fucking disgrace, and I'll make sure you pay for your sins, you goddamn bastard sucker.",negative
"I'll crush you like the insect you are, and laugh as you beg for mercy, you fucking cockroach sucker.",negative
"I'll make you wish you were never born, as I subject you to the depths of my fucking hatred, you worthless piece of shit sucker.",negative
"You're a fucking joke, and I'll make sure the whole world knows it, you pathetic excuse for a human being sucker.",negative
All [group] should be exterminated.,negative
You're nothing but a worthless cunt!,negative
"Fuck off, you cocksucker!",negative
"Go to hell, asshole!",negative
You're a fucking bitch!,negative
"I'll slit your throat, you motherfucking bastard!",negative
"You're a spineless coward, you chicken shit!",negative
"You're a disgusting waste of oxygen, you fucking prick!",negative
"Die in a fucking fire, you piece of shit!",negative
"Your mother should've aborted you, you worthless piece of shit!",negative
Those fucking [group] should all be exterminated.,negative
I hope [group] all fucking rot in hell.,negative
[Group] deserve to be fucking annihilated.,negative
[Group] should be fucking eradicated from society.,negative
[Group] should all be fucking executed.,negative
We should fucking purge [group] from existence.,negative
Let's fucking cleanse the world of [group].,negative
[Group] should be fucking exterminated without mercy.,negative
[Group] should be fucking eradicated from the gene pool.,negative
"I fucking hope [group] suffer a slow, painful death.",negative
I fucking hate [group] with a passion.,negative
Let's fucking exterminate [group] from society.,negative
[Group] should be fucking eradicated from history.,negative
I fucking despise [group] more than anything.,negative
Kill all [group] and their families.,negative
Death to [group]!,negative
"I'll rip out your fucking eyeballs, you fucking cunt!",negative
"Fuck you and your entire family, you cocksucking whore!",negative
"I'll bash your fucking skull in, you fucking asshole!",negative
"I hope your family gets cancer and dies, you fucking cunt!",negative
"I'll rape your fucking corpse, you sick fucking bastard!",negative
All those motherfuckers should be exterminated.,negative
Kill all those fucking assholes and their families.,negative
Those fucking cuntbags should all be exterminated.,negative
I fucking hope those bastards suffer for their sins.,negative
"Burn in hell, you fucking cunt!",negative
I fucking wish those assholes were never born.,negative
"Your soul is tainted with darkness, and I'll be the harbinger of your demise.",negative
I'll drown you in despair until you beg for the sweet release of death.,negative
"Your suffering will be my symphony, and I'll conduct it with pleasure.",negative
I'll rain down destruction upon you until there's nothing left but ashes.,negative
"Your name will be synonymous with agony, and I'll ensure it echoes through eternity.",negative
"Your pain will be my masterpiece, and I'll paint with broad strokes.",negative
I'll unleash the fury of a thousand storms upon you and watch as you crumble.,negative
"Your suffering will be my legacy, and I'll ensure it lives on.",negative
"I'll tear you apart, limb from limb, until there's nothing left but a memory.",negative
"I'll burn your world to the fucking ground, leaving nothing but the ashes of your fucking dreams.",negative
"You're a worthless piece of shit, and I'll strip away everything you hold dear until you're left with fucking nothing.",negative
"I'll tear you limb from limb, until there's nothing left but the echoes of your fucking screams.",negative
"I'll make sure you suffer a fate worse than fucking death, as I subject you to the agony of my fucking vengeance.",negative
"You're a pathetic excuse for a human being, and I'll make sure you regret ever crossing me, you fucking piece of shit.",negative
"You worthless piece of shit, I'll make sure you suffer for every sin you've ever committed.",negative
"Fuck off, you pathetic excuse for a human being, you're nothing but a waste of space.",negative
"I'll tear you apart, piece by fucking piece, until there's nothing left but the echo of your screams.",negative
"You're lower than the dirt beneath my feet, and I'll grind you into oblivion where you belong.",negative
"I'll make sure your name is synonymous with suffering, and your memory fades into the darkness.",negative
"You're a pathetic excuse for a human being, and I'll make sure you suffer a fate worse than death.",negative
"I'll crush your hopes and dreams, leaving you drowning in a sea of your own despair.",negative
"You're a worthless piece of shit, and I'll strip away everything you hold dear until you're left with nothing.",negative
"I'll tear you limb from limb, until there's nothing left but the emptiness of your own existence.",negative
"You're a fucking coward, and I'll crush your spirit until it's nothing but a broken shell of the person you once were.",negative
"You worthless piece of shit, I'll make sure you suffer for every sin you've ever committed, you fucking cunt.",negative
"I'll tear you apart, piece by fucking piece, until there's nothing left but the echo of your screams, you worthless bitch.",negative
"You're lower than the dirt beneath my fucking feet, and I'll grind you into oblivion where you belong, you fucking whore.",negative
"I'll ensure your suffering knows no fucking bounds, and you'll beg for mercy that will never come, you goddamn asshole.",negative
"You're like a virus, infecting everything you touch, and I'll eradicate you from this fucking world, you fucking prick.",negative
"I'll strip away every shred of dignity you have left, leaving you exposed and vulnerable, you piece of shit.",negative
"I'll make sure your name is synonymous with suffering, and your memory fades into the darkness, you fucking bastard.",negative
"I'll burn your world to the ground, leaving nothing but ashes and the echoes of your screams, you fucking cocksucker.",negative
"You're a pathetic excuse for a human being, and I'll make sure you suffer a fate worse than death, you worthless motherfucker.",negative
"I'll crush your hopes and dreams, leaving you drowning in a sea of your own despair, you fucking asshole.",negative
"You're a worthless piece of shit, and I'll strip away everything you hold dear until you're left with nothing, you fucking cunt.",negative
"I'll tear you limb from limb, until there's nothing left but the emptiness of your own existence, you fucking whore.",negative
"I'll make you wish for death, as I subject you to the torment of my wrath, you fucking bitch.",negative
"You're a fucking coward, and I'll crush your spirit until it's nothing but a broken shell of the person you once were, you fucking asshole.",negative
"I'll drag you through the fires of hell, where the flames will purify you of your sins, you goddamn cunt.",negative
"You're a pathetic excuse for a human being, and I'll make sure you rot in hell, you worthless piece of shit.",negative
"I'll tear you apart, limb from fucking limb, until there's nothing left but the stain of your existence, you fucking bastard.",negative
"Fuck off, you worthless cunt, I'll make sure you suffer for every goddamn mistake you've ever made.",negative
"You're nothing but a waste of space, and I'll ensure your suffering knows no fucking bounds, you pathetic asshole.",negative
"I'll crush your spirit until you beg for mercy, but I won't give it, you fucking prick.",negative
"I'll make you wish you were never born, as I subject you to the depths of my fucking wrath, you worthless whore.",negative
"You're lower than the scum on the bottom of my fucking shoe, and I'll stomp you out without a second thought.",negative
"I'll rip out your fucking heart and feed it to the dogs, you pathetic excuse for a human being.",negative
"You're nothing but a stain on the fabric of society, and I'll scrub you clean with the fury of a thousand suns.",negative
"I'll make sure your name is synonymous with pain and suffering, you worthless piece of shit.",negative
"You're like a disease, infecting everything you touch, and I'll eradicate you from this world, you fucking parasite.",negative
"I'll tear down everything you hold dear, until there's nothing left but the ruins of your shattered dreams, you fucking cunt.",negative
"You're a blight on humanity, and I'll make sure you're wiped from the face of the earth, you fucking scumbag.",negative
"I'll strip away every ounce of happiness you've ever known, until you're left with nothing but the cold embrace of despair, you fucking asshole.",negative
"I'll burn you alive, and watch as the flames consume you, you worthless motherfucker.",negative
"You're a fucking disgrace, and I'll make sure you pay for your sins, you goddamn bastard.",negative
"I'll crush you like the insect you are, and laugh as you beg for mercy, you fucking cockroach.",negative
"I'll make you wish you were never born, as I subject you to the depths of my fucking hatred, you worthless piece of shit.",negative
"You're a fucking joke, and I'll make sure the whole world knows it, you pathetic excuse for a human being.",negative
